album,artist,release_date,track_name,track_number,duration_ms,explicit
Fine Line,Harry Styles,2019-12-13,Golden,1,208906,False
Fine Line,Harry Styles,2019-12-13,Watermelon Sugar,2,174000,False
Fine Line,Harry Styles,2019-12-13,Adore You,3,207133,False
Fine Line,Harry Styles,2019-12-13,Lights Up,4,172213,False
Fine Line,Harry Styles,2019-12-13,Cherry,5,259186,False
Fine Line,Harry Styles,2019-12-13,Falling,6,240133,False
Fine Line,Harry Styles,2019-12-13,To Be So Lonely,7,192080,False
Fine Line,Harry Styles,2019-12-13,She,8,362653,False
Fine Line,Harry Styles,2019-12-13,"Sunflower, Vol. 6",9,221826,False
Fine Line,Harry Styles,2019-12-13,Canyon Moon,10,189786,False
Fine Line,Harry Styles,2019-12-13,Treat People With Kindness,11,197346,False
Fine Line,Harry Styles,2019-12-13,Fine Line,12,377960,False
